dataset_test,score,positive,negative,n_positive,n_negative,median_positive,median_negative,delta_median,p_wilcox,auc,expected
"GSE33630
ATC vs PTC",TDS,ATC,PTC,11,49,-2.09755483286673,-0.0316168291002972,-2.06593800376643,2.33440241464656e-11,0.996289424860853,lower
"GSE33630
ATC vs PTC",RAIR_like,ATC,PTC,11,49,5.30181531683766,1.81376760903377,3.48804770780389,1.69232444689742e-05,0.884972170686456,higher
"GSE33630
ATC vs PTC",OneCarbon,ATC,PTC,11,49,1.16524572883873,0.0241412199065678,1.14110450893216,1.16986417687779e-05,0.890538033395176,higher
"GSE76039
ATC vs PDTC",TDS,ATC,PDTC,20,17,-0.592115288541238,0.730067729822449,-1.32218301836369,1.50892446680037e-09,0.988235294117647,lower
"GSE76039
ATC vs PDTC",RAIR_like,ATC,PDTC,20,17,2.16816836589498,-2.27544556579616,4.44361393169114,4.70252537767168e-05,0.870588235294118,higher
"GSE76039
ATC vs PDTC",OneCarbon,ATC,PDTC,20,17,0.456303317739739,-0.387260823808865,0.843564141548604,1.6500969250401e-05,0.888235294117647,higher
