dataset,sample,rai_group,rai_group_remission,score,value
GSE151179,GSM4567937,RAI_refractory,RAI_refractory,OneCarbon,0.267956852152513
GSE151179,GSM4567938,RAI_refractory,RAI_refractory,OneCarbon,0.228581238987144
GSE151179,GSM4567939,RAI_refractory,RAI_refractory,OneCarbon,0.267386275826818
GSE151179,GSM4567940,RAI_refractory,RAI_refractory,OneCarbon,-0.34703674970734
GSE151179,GSM4567941,RAI_refractory,RAI_refractory,OneCarbon,0.136431832914197
GSE151179,GSM4567942,RAI_refractory,RAI_refractory,OneCarbon,-0.0639826622089464
GSE151179,GSM4567943,RAI_refractory,RAI_refractory,OneCarbon,0.0628044253935842
GSE151179,GSM4567944,RAI_refractory,RAI_refractory,OneCarbon,0.00140706473911715
GSE151179,GSM4567945,RAI_refractory,RAI_refractory,OneCarbon,0.285881706390268
GSE151179,GSM4567946,RAI_refractory,RAI_refractory,OneCarbon,0.295796945460594
GSE151179,GSM4567947,RAI_refractory,RAI_refractory,OneCarbon,0.0829955442395207
GSE151179,GSM4567948,RAI_refractory,RAI_refractory,OneCarbon,0.114151787276131
GSE151179,GSM4567949,RAI_refractory,RAI_refractory,OneCarbon,-0.246034673624631
GSE151179,GSM4567950,RAI_refractory,RAI_refractory,OneCarbon,0.0632379679980721
GSE151179,GSM4567912,RAI_avid,RAI_avid_remission,RAIR_like,6.32981351800568
GSE151179,GSM4567913,RAI_avid,RAI_avid_remission,RAIR_like,0.550728588277047
GSE151179,GSM4567914,RAI_avid,RAI_avid_remission,RAIR_like,0.833673737292732
GSE151179,GSM4567915,RAI_avid,RAI_avid_remission,RAIR_like,1.8436286001704
GSE151179,GSM4567916,RAI_refractory,RAI_refractory,RAIR_like,-0.584461162702569
GSE151179,GSM4567917,RAI_refractory,RAI_refractory,RAIR_like,3.41693614719692
GSE151179,GSM4567918,RAI_refractory,RAI_refractory,RAIR_like,2.70741522655245
GSE151179,GSM4567919,RAI_refractory,RAI_refractory,RAIR_like,3.43510104017842
