gene,evidence_tier,biological_axis,actionability_note,median_high,median_low,delta_high_low,p_wilcox,rho_RAIR_like,p_rho_RAIR_like,rho_TDS,p_rho_TDS,priority_score,n_external_up_validations,best_external_padj,GSE33630_delta,GSE33630_padj,GSE76039_delta,GSE76039_padj,protein_class,evidence,hpa_evidence,reliability_IH,antibody,subcellular_location,rna_cancer_specificity,rna_cancer_distribution,rna_cancer_specific_pTPM,thyroid_carcinoma_prognostics_TCGA,pathology_high,pathology_medium,pathology_low,pathology_not_detected,pathology_total,pathology_detected_fraction,pathology_high_medium_fraction,normal_thyroid_IHC_summary,target_chembl_id,activity_total_count,mechanism_total_count,max_mechanism_phase,actionability_bin
AXL,Tier 1A_core_actionable_axis,RTK/EMT survival,clinically druggable kinase class; use as actionable ecology-linked node,5.32840206837411,4.47710348834609,0.851298580028021,5.30141766305454e-41,0.689952691463697,1.30545340959196e-72,-0.117970355683946,0.00796011503429397,29,2,1.26600020201606e-05,0.898137455000001,0.000210492353735944,1.949448566,1.26600020201606e-05,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins",Evidence at protein level,Evidence at protein level,Uncertain,"CAB032501, HPA037422, HPA037423, HPA075217","Vesicles,Plasma membrane,Actin filaments",Low cancer specificity,Detected in all,"",unprognostic (9.23e-3),0,0,0,4,4,0,0,glandular cells Not detected (Uncertain),CHEMBL4895,13019,7,4,Clinical/approved mechanism record
FN1,Tier 1B_ecology_state_axis,ECM/CAF-epithelial interface,robust ECM/state anchor; better as ecology marker than direct tumor-cell target,11.7860127625855,8.14425820951834,3.64175455306713,1.98177716866395e-36,0.677224275222553,0,-0.571083443748101,0,8,2,0.000114524498541232,3.158745802,0.000114524498541232,5.54601605,0.000160026750361532,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Evidence at protein level,Enhanced,"CAB000126, HPA027066","",Cancer enhanced,Detected in all,Thyroid Carcinoma (TCGA): 3346.8,unprognostic (1.85e-1),1,2,0,1,4,0.75,0.75,glandular cells Low (Enhanced),,,,,
FOSL1,Tier 1B_ecology_state_axis,AP-1/MAPK transcription,transcriptional MAPK/AP-1 readout; marker or upstream-pathway rationale,3.4721368029549,2.60715380319841,0.864982999756487,2.38801514179894e-19,0.524765520030264,0,-0.199940553061517,6.23104418312164e-06,42,2,0.000660101392732114,2.405151759,0.000660101392732114,3.05300282,0.000893703175925857,"Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Evidence at protein level,Enhanced,"CAB004396, HPA030728",Nucleoplasm,Cancer enhanced,Detected in all,Head and Neck Squamous Cell Carcinoma (TCGA): 90.1,unprognostic (5.97e-2),1,0,0,3,4,0.25,0.25,glandular cells Not detected (Enhanced),,,,,
ITGB1,Tier 1B_ecology_state_axis,ECM adhesion,adhesion/ECM interface; ecology marker and combination-rationale node,6.00774941507202,5.25676909822635,0.750980316845672,4.44958809021567e-34,0.638960386721902,0,0.221985583651533,5.01201878954849e-07,49,2,2.18806873544021e-05,0.772525696000001,4.09452461907226e-05,1.472135777,2.18806873544021e-05,"Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Evidence at protein level,Enhanced,"CAB003434, HPA059297, HPA069003","Endoplasmic reticulum,Plasma membrane,Focal adhesion sites",Low cancer specificity,Detected in all,"",unprognostic (9.42e-2),0,0,0,3,3,0,0,glandular cells Not detected (Enhanced),,,,,
MTHFD2,Tier 1A_core_actionable_axis,mitochondrial one-carbon,enzyme vulnerability; strongest one-carbon gene across TCGA and GEO,2.39969064396858,1.71507377061052,0.684616873358052,5.69297812724137e-26,0.595859534421889,7.41802686640954e-50,-0.182508776052908,3.6926402480537e-05,43,2,7.15114999696792e-08,2.663736205,7.15114999696792e-08,3.050081338,1.26600020201606e-05,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Evidence at protein level,Approved,"CAB003684, HPA049657",Mitochondria,Low cancer specificity,Detected in all,"",unprognostic (1.24e-1),0,0,1,1,2,0.5,0,glandular cells Low (Approved),CHEMBL4105963,1,0,,Sparse chemical evidence
SLC1A5,Tier 1A_core_actionable_axis,amino-acid uptake,transporter vulnerability; robust across TCGA and GEO,5.35857560301063,4.11836977380299,1.24020582920764,6.04662475380714e-29,0.601626684407571,0,-0.391580990397176,0,23,2,2.63413968468718e-07,1.3330693,2.63413968468718e-07,2.183772462,1.26600020201606e-05,"FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Evidence at protein level,Enhanced,"HPA035239, HPA035240","Plasma membrane,Centriolar satellite,Basal body",Low cancer specificity,Detected in all,"",unprognostic (8.91e-2),0,1,0,3,4,0.25,0.25,glandular cells Low (Enhanced),CHEMBL3562162,143,0,,Preclinical chemical tractability
SLC7A5,Tier 1A_core_actionable_axis,amino-acid uptake,transporter vulnerability; robust across TCGA and GEO,3.3885339790918,2.7021477345027,0.686386244589102,9.53600132458215e-17,0.475810278445786,6.81007888407818e-30,-0.258250225447628,3.87923850144749e-09,47,2,2.18806873544021e-05,1.936600894,0.000170374340974891,3.9867323375,2.18806873544021e-05,"Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Evidence at protein level,Approved,"HPA052673, HPA056077","Vesicles,Plasma membrane,Cytosol",Cancer enhanced,Detected in all,Skin Cutaneous Melanoma (TCGA): 327.6,unprognostic (1.27e-3),2,1,0,1,4,0.75,0.75,glandular cells Medium (Approved),CHEMBL4459,473,0,,Preclinical chemical tractability
