pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_KRAS_SIGNALING_UP,3.61355500064105e-11,1.60967450028556e-10,0.851339057116899,0.535029777568757,1.71207815630625,185,KCNN4;MPZL2;ITGA2;EMP1;PLAUR;VWA5A;CSF2;DCBLD2;CFH;PTGS2;ANKH;LIF;PLAU;AMMECR1;INHBA;MAP3K1;TMEM100;HBEGF;ERO1A;STRN;GPRC5B;TNFRSF1B;CBL;SLPI;G0S2;NIN;SCN1B;ETV1;FGF9;PRDM1;KLF4;SNAP25;CTSS;EREG;F2RL1;CFB;SPON1;CCL20;MALL;AVL9;FUCA1;IL1RL2;BIRC3;YRDC;TOR1AIP2;ADAM17;TRIB2;TSPAN13;ANGPTL4;ITGB2;ETS1;CCND2;LCP1;ALDH1A3;PSMB8;BPGM;MMP11;CPE;GPNMB;ZNF277;TMEM158;SATB1;GALNT3;EVI5;HSD11B1;APOD;CSF2RA;PPP1R15A;GUCY1A1;USP12;TRIB1;ITGBL1;FCER1G;SOX9;JUP;MAP4K1;LAT2;IL7R;RBP4;ADAM8;WDR33;PPBP;RETN;LAPTM5;C3AR1;MAP7;SCG5;NRP1;ID2;TMEM176B;WNT7A;SPP1;F13A1;DOCK2;SEMA3B;BTC;TMEM176A;CMKLR1;ADGRA2;LY96;TNFAIP3;CLEC4A;MMP10;ANO1;RABGAP1L;CCSER2;MMP9;ZNF639;TLR8
HALLMARK_ESTROGEN_RESPONSE_EARLY,4.92314849097386e-11,2.01028563381433e-10,0.851339057116899,0.527427075266817,1.69038116770133,193,ENDOD1;NRIP1;SYT12;TIPARP;PRSS23;ALDH3B1;UGCG;ELF3;KRT15;KLK10;INHBB;SLC2A1;BHLHE40;SVIL;SIAH2;RBBP8;TIAM1;RAB31;PMAIP1;TFAP2C;SFN;MYC;AREG;GAB2;DLC1;NAV2;TGM2;INPP5F;DHRS3;RARA;LAD1;TPD52L1;SEC14L2;SLC39A6;FARP1;MUC1;CANT1;DYNLT3;KRT13;TPBG;IGF1R;MREG;SLC26A2;KLF4;THSD4;OPN3;IL6ST;CHPT1;NBL1;SCNN1A;SLC7A2;CELSR1;SNX24;CLDN7;CELSR2;MYOF;P2RY2;B4GALT1;RPS6KA2;RHOBTB3;MYBBP1A;SLC27A2;SULT2B1;MICB;SLC16A1;ABHD2;RAPGEFL1;PLAAT3;KCNK15;ELF1;NCOR2;TSKU;ITPK1;RASGRP1;AQP3;ELOVL5;NPY1R;KLF10;PGR;KAZN;GJA1;SLC37A1;KCNK5;ESRP2;RET;FLNB;JAK2;EGR3;SLC1A4;ABLIM1;SLC22A5;FKBP5;GREB1;RRP12;MYBL1;IL17RB;SEMA3B;MED24;KRT18;ZNF185;ISG20L2;DHCR7
HALLMARK_APOPTOSIS,7.16531273842673e-11,2.70077172448392e-10,0.839088935621274,0.549783859543749,1.74477599227045,154,BID;ANXA1;FAS;LGALS3;TNFRSF12A;EMP1;PEA15;CCNA1;IGF2R;ERBB3;GSN;PMAIP1;LMNA;ROCK1;SLC20A1;BCL2L1;IFNGR1;ANKH;BTG3;TIMP1;TIMP2;MCL1;CLU;CFLAR;BCL10;GADD45A;RELA;CTNNB1;RARA;CDK2;CASP8;CDC25B;CASP3;CAV1;IGFBP6;DNAJA1;TGFB2;SPTAN1;PPT1;IER3;ERBB2;NEDD9;EREG;DPYD;TOP2A;ADD1;WEE1;PSEN1;TAP1;PLPPR4;XIAP;GNA15;CASP7;BIRC3;SC5D;CASP6;CCND2;DAP3;SATB1;HMOX1;CASP2;IL18;PTK2;GCH1;BNIP3L;ATF3;SAT1;MMP2;BAX;CREBBP;CDKN1A;ETF1;APP;HMGB2;IL6;EGR3;F2R;GSR;CD69;DFFA;SQSTM1;SOD2;BCL2L11;KRT18;PPP3R1;TSPO;CYLD;IL1A;PDCD4;DNM1L;MADD;DAP;TXNIP;PLCB2
HALLMARK_ALLOGRAFT_REJECTION,1.61469151182542e-09,5.65142029138897e-09,0.788186810800237,0.509404864859279,1.63168909516713,191,ICAM1;FLNA;FAS;LYN;RIPK2;EGFR;ELF4;INHBB;IL4R;CD47;ST8SIA4;STAT1;HIF1A;CCL13;DEGS1;IFNGR1;LIF;TIMP1;UBE2D1;INHBA;BCL10;ABI1;CCR1;TGFB2;MAP3K7;GBP2;CCND3;BCAT1;STAT4;NPM1;HLA-G;CTSS;SOCS5;EREG;ABCE1;WARS1;TAP1;EIF3D;TGFB1;EIF3A;IFNGR2;IL2RA;CD40;NLRP3;BCL3;RARS1;ITGB2;ETS1;IFNAR2;FGR;IL27RA;CCND2;CSF1;CCL22;IGSF6;LY75;ACVR2A;CD86;IL2RB;HLA-DRA;IL18;HLA-DQA1;GALNT1;CSK;APBB1;IL7;MAP4K1;SPI1;AKT1;HLA-DOA;RPS9;B2M;IL6;JAK2;CD4;F2R;LY86;PTPRC;CDKN2A;ICOSLG;NCF4;TLR1;TLR2;TAP2;CAPG;MRPL3;HLA-A;SRGN;CCL7;EIF3J;FCGR2B;CD74;CCL2;IL11;NCK1;UBE2N;IRF7;HLA-E;PSMB10;GCNT1;IKBKB;MMP9;TLR6;LCP2;PTPN6;CCR2;CD80
HALLMARK_INTERFERON_ALPHA_RESPONSE,2.89622887774088e-09,9.46101433395353e-09,0.774939030136436,0.583435297839862,1.81269992225301,96,RIPK2;PARP14;LY6E;IL4R;CD47;PARP9;DDX60;NCOA7;PLSCR1;TRIM14;SP110;SAMD9;TENT5A;HERC6;IFIT2;CASP8;GBP2;ADAR;IFIH1;NUB1;TRIM21;LAMP3;STAT2;IFIT3;SAMD9L;WARS1;RSAD2;TAP1;HELZ2;CNP;SELL;UBE2L6;EIF2AK2;NMI;EPSTI1;PARP12;TDRD7;CSF1;MOV10;PSMB8;ELF1;HLA-C;CMPK2;IL7;LAP3;IFI44;MX1;OASL;B2M;OAS1;CMTR1;TRIM5;PNPT1;USP18;PROCR;IRF2;TMEM140;LPAR6;IFITM1;PSME1;CD74;TRAFD1;TRIM26;IRF7;PSMB9;IRF9;TXNIP;UBA7;C1S;PSMA3;IRF1;DHX58
HALLMARK_COMPLEMENT,7.16850508096548e-09,2.19535468104568e-08,0.761460801445585,0.503973948357054,1.61310564060036,187,DOCK9;CD55;SPOCK2;CTSH;CTSC;LGALS3;DPP4;LYN;FYN;SERPINA1;PLAUR;MAFF;PIK3CA;CFH;DGKH;TMPRSS6;TIMP1;TIMP2;PLSCR1;SRC;LRP1;CLU;RABIF;C3;ANXA5;MMP14;DYRK2;HPCAL4;CASP3;KIF2A;PDP1;GPD2;PLA2G4A;GNAI2;CTSS;PREP;RCE1;ITGAM;CFB;LAMP2;USP14;GMFB;LIPA;RBSN;PSEN1;CD59;CASP7;GNB4;PRDM4;SERPING1;CDK5R1;BRPF3;GATA3;GNAI3;RHOG;SERPINE1;LTA4H;OLR1;VCPIP1;S100A9;PPP2CB;APOC1;USP15;RASGRP1;MMP12;CXCL1;F3;ADAM9;GRB2;DOCK4;CD46;FCER1G;F5;LAP3;RAF1;PPP4C;CEBPB;PIK3R5;PRSS3;IL6;JAK2;CALM1;SERPINB2;CTSO;GCA;PLEK;RNF4;XPNPEP1;SH2B3;CP;CASP10;IRF2;GNB2;USP8;STX4;CPM;FCN1
HALLMARK_ESTROGEN_RESPONSE_LATE,1.67441509066453e-08,4.82625526132718e-08,0.73376198835648,0.497908591005771,1.59369181536692,187,NRIP1;PRSS23;GJB3;ALDH3B1;EMP2;SERPINA1;PERP;KLK10;CCNA1;LSR;SIAH2;RBBP8;TIAM1;RAB31;GALE;PLK4;TFAP2C;NAB2;BTG3;SFN;AREG;MDK;JAK1;ATP2B4;TPD52L1;CXCL14;FARP1;ST14;CAV1;MAPK13;KLK11;DYNLT3;KRT13;TPBG;SLC26A2;KLF4;TRIM29;OPN3;IL6ST;UGDH;PLXNB1;CHPT1;NBL1;SCNN1A;TOP2A;CELSR2;MYOF;RPS6KA2;DUSP2;CD9;SLC27A2;SULT2B1;MICB;SLC16A1;TSPAN13;ABHD2;STIL;IGSF1;RAPGEFL1;GFUS;PLAAT3;NCOR2;CPE;S100A9;SLC29A1;LARGE1;ITPK1;AGR2;ELOVL5;NPY1R;PGR;RABEP1;KCNK5;KIF20A;RET;NMU;CDC6;TPSAB1;FLNB;JAK2;EGR3;SLC1A4;ALDH3A2;SLC22A5;FKBP5;ID2;SNX10;PKP3;IL17RB;SEMA3B;FGFR3;HPRT1;CDH1;DHCR7;ZFP36;HR;TH;PDCD4;AMFR;AFF1;PRKAR2B;ASS1;PTPN6;MYB;HOMER2
HALLMARK_IL2_STAT5_SIGNALING,1.95996895050264e-08,5.33547103192386e-08,0.73376198835648,0.502859521218169,1.61015001871562,189,AHR;TNFRSF21;AHNAK;CDCP1;EMP1;MAFF;IL4R;BHLHE40;IGF2R;TIAM1;CSF2;BCL2L1;IFNGR1;PLIN2;PLEC;SLC2A3;LIF;MYC;PLSCR1;NT5E;PRNP;WLS;TGM2;MYO1E;SNX9;DHRS3;TTC39B;TNFRSF1B;ODC1;MAPKAPK2;MUC1;CASP3;GUCY1B1;IL1RL1;ANXA4;PNP;IGF1R;SPRED2;IKZF2;CCND3;HIPK2;SYT11;SYNGR2;SHE;TNFSF11;ITGAV;CYFIP1;SNX14;BATF3;MYO1C;KLF6;ALCAM;IL18R1;IL1R2;BMPR2;SELL;IL2RA;IKZF4;TNFRSF8;CCND2;CSF1;HK2;NFKBIZ;RNH1;SELP;PTGER2;CD86;IL2RB;PHTF2;HUWE1;SWAP70;NCOA3;P4HA1;DENND5A;SH3BGRL2;NFIL3;TWSG1;CDC6;SMPDL3A;TNFRSF18
HALLMARK_MTORC1_SIGNALING,3.26101683142881e-08,8.40999077579008e-08,0.719512826338911,0.494256887745672,1.58293239364205,190,LDLR;SLC6A6;CTSC;EDEM1;SCD;SLC2A1;BHLHE40;MCM4;NAMPT;SLC2A3;NIBAN1;SKAP2;IGFBP5;ERO1A;SRD5A1;IDH1;SYTL2;MCM2;GSK3B;ACTR3;PNP;LDHA;BCAT1;EPRS1;RIT1;NUP205;RRP9;AK4;ELOVL6;SERPINH1;WARS1;BUB1;ACTR2;TES;CD9;ARPC5L;EIF2S2;SC5D;TBK1;CCT6A;ITGB2;RRM2;HK2;PPA1;ENO1;DDIT4;LTA4H;MAP2K3;HSPA4;PITPNB;ACLY;PSMC6;PNO1;TUBA4A;CCNG1;RPA1;M6PR;PPP1R15A;ELOVL5;HSPD1;PGM1;CACYBP;P4HA1;PFKL;CYP51A1;GMPS;MLLT11;PSMD14;PSME3;STIP1;CDKN1A;NFIL3;SLC37A4;ETF1;MTHFD2L;NUFIP1;UBE2D3;SEC11A;SLC1A4;CORO1A;PLOD2;DAPP1;GSR;PSMD12;NMT1;UFM1;FGL2;EGLN3;SQSTM1;CYB5B;INSIG1;HPRT1;DHCR7;TCEA1;DHCR24;USO1;PSMC2
HALLMARK_IL6_JAK_STAT3_SIGNALING,4.52181487730595e-08,1.10784464493996e-07,0.719512826338911,0.588466110246907,1.81247317333357,83,TNFRSF21;FAS;TNFRSF1A;OSMR;TNFRSF12A;IL4R;STAT1;IL13RA1;CSF2;IFNGR1;MYD88;CRLF2;STAT3;PDGFC;TNFRSF1B;CBL;CCR1;EBI3;LEPR;IL6ST;IL1R1;STAT2;CXCL3;PTPN2;IL18R1;TGFB1;CD9;IL1R2;IFNAR1;IFNGR2;IL2RA;IL17RA;CSF1;CSF2RB;PTPN1;HMOX1;CSF2RA;PTPN11;CXCL1;GRB2;TYK2;IL7;IL15RA;PIK3R5;IL6;STAM2;SOCS3;TLR2;ITGA4;IL17RB;CCL7;ITGB3
