dataset,top10_fraction_epithelial_thyroid,top10_fraction_myeloid,top10_fraction_caf,top10_fraction_t_nk,top10_total_cells
GSE232237,0.486145501709704,0.265063082183705,0.115906143143497,0.0317179577879967,8481
GSE184362,0.616185087896545,0.0845120226308345,0.0685997171145686,0.15477874318044,19796
