gene,spearman_rho_RAIR_like,p_value,p_adj
TSHZ2,0.377530294937667,1.49153477271056e-18,6.88316829869875e-18
SMYD2,0.377501104147682,1.50132081829274e-18,6.92712402609728e-18
PRDM15,0.377469392334093,1.51202366862112e-18,6.97529388414674e-18
KANSL2,0.377415194935643,1.53048965306733e-18,7.05925378843054e-18
LMCD1,0.377397826212695,1.53645432112761e-18,7.08553326186214e-18
RBL1,0.377364562015935,1.54794168074089e-18,7.13726769048023e-18
TAF13,0.377280367788332,1.57739628827511e-18,7.27181333729331e-18
AC091925.1,-0.377237252894053,1.59269259273758e-18,7.34105364291173e-18
FAM177A1,0.377181003283116,1.61286855733958e-18,7.43275735788565e-18
SEPTIN10P1,0.377169323732376,1.61708929294051e-18,7.45091377184992e-18
HCK,0.377165946408305,1.61831181000515e-18,7.45525166241692e-18
DEPP1,0.377139111426671,1.62805787609415e-18,7.4988475813984e-18
AC022392.1,0.377083258519386,1.6485284957182e-18,7.59181716621892e-18
MTF1,0.377059034561664,1.65748539641226e-18,7.63174060496992e-18
AOPEP,0.377027269979822,1.66930311035628e-18,7.6848202543059e-18
SRSF9P1,0.37698222230848,1.68620503649255e-18,7.76128315078974e-18
GALNTL6,0.376920335188586,1.70970016082562e-18,7.86806149654066e-18
EIF3F,0.376900112371486,1.71744729054081e-18,7.90234290180146e-18
CYFIP2,0.376767017775544,1.76930354921899e-18,8.13953276909172e-18
PTPN22,0.376653572032396,1.81471884848309e-18,8.34701442255287e-18
TMEM171,-0.376526938408126,1.86676990614569e-18,8.58494079931008e-18
AC024909.1,0.376499614526605,1.8781923411775e-18,8.63597331289207e-18
PRKAR1B,0.376454633040944,1.89714638579277e-18,8.72161265676586e-18
ANKRD50,0.376427629242473,1.90861541971993e-18,8.77281799055466e-18
MIR146B,0.3764064126922,1.91767435675523e-18,8.81292965822752e-18
MTFMT,0.376395241458818,1.92246119243576e-18,8.83339781578919e-18
NPY1R,0.376356051754244,1.93934704973085e-18,8.90944230016633e-18
TNPO2,0.376321483079985,1.9543629676675e-18,8.97687135590442e-18
CYB5R3,0.376307413350031,1.96050728878336e-18,9.00353468529562e-18
LRP4-AS1,0.376288214801244,1.96892207964322e-18,9.04061400114526e-18
EGOT,0.37627038203797,1.97677008911719e-18,9.07507846727633e-18
MED23,0.376158702826804,2.02662397948371e-18,9.30234083401712e-18
U2SURP,0.376151257427402,2.02999128817037e-18,9.31618493252722e-18
CDT1,0.376094503860324,2.05584070716068e-18,9.43311889802771e-18
CDC16,0.376093758444167,2.05618236705105e-18,9.43311889802771e-18
SLC50A1,0.376044756091558,2.07876553587073e-18,9.53507428748177e-18
TADA1,0.376022020898255,2.08932600527009e-18,9.58185712582891e-18
DUXAP8,0.376007672388154,2.09601803638558e-18,9.61088581385719e-18
AL391244.1,0.375987634825075,2.10539871856073e-18,9.65223062712445e-18
RAET1G,0.375943277557569,2.12631205151486e-18,9.74642361819304e-18
ZMYM3,0.375916730863694,2.13892582729566e-18,9.80254777036017e-18
OLR1,0.375903770501274,2.14511073122877e-18,9.82831297778773e-18
MSRB2,-0.375903397793195,2.14528885400705e-18,9.82831297778773e-18
PVR,0.375896092153379,2.14878327020933e-18,9.84262217675231e-18
CCZ1,0.375864438232437,2.16398874665453e-18,9.91056034077314e-18
ZSCAN22,0.375814355579754,2.18826340796065e-18,1.00200026168763e-17
PCDHA12,0.375785351866403,2.2024436403805e-18,1.00831929590496e-17
VASH1,0.375777664158753,2.20621738617266e-18,1.009872690002e-17
KIAA1671,0.375771272779452,2.20935963496304e-18,1.01113653687077e-17
CDC6,0.37575453592762,2.21760900705492e-18,1.01473687288492e-17
UFL1,0.375719093648495,2.23517825789394e-18,1.02259983561391e-17
KIF19,-0.375714941614111,2.23724542677346e-18,1.02336906691831e-17
MKLN1,0.375712114123962,2.23865422333655e-18,1.02383692979699e-17
GGT3P,0.375699689664567,2.24485506547323e-18,1.02649587082818e-17
AC120498.1,-0.375664772308778,2.26237241455981e-18,1.03432765716328e-17
COX6C,-0.375628618762497,2.28065172706035e-18,1.04250504414963e-17
IFT57,0.375574203383071,2.30843868802855e-18,1.05502489039706e-17
YEATS4,0.375513638320354,2.33975795759064e-18,1.06915451478121e-17
SGK3,0.375505252388593,2.34412731000715e-18,1.0709666039485e-17
DBNDD1,0.375483530540962,2.35548250728431e-18,1.07596915771007e-17
CTSD,0.375473479024921,2.36075529307746e-18,1.07819206102226e-17
EEF1A1P12,0.375453323691996,2.37136333375599e-18,1.08285046980911e-17
ZNF749,0.375428602682811,2.38443844423749e-18,1.08863363462726e-17
RNF11,0.375420740831847,2.38861148535867e-18,1.09035120049258e-17
INO80D,0.375387569812882,2.4062978404895e-18,1.09823565927089e-17
XYLB,0.375370180824108,2.41562086237866e-18,1.10230103209111e-17
AL138899.2,0.375359768726581,2.42122026839082e-18,1.10466613070752e-17
EEF1A1P19,0.375317687048208,2.44398137166929e-18,1.11463729772172e-17
ATP5PD,-0.375317407517149,2.44413326620043e-18,1.11463729772172e-17
GTF2I,0.375317034809071,2.44433580669804e-18,1.11463729772172e-17
SERTAD1,0.37530016976853,2.45351807378897e-18,1.11863218331602e-17
AC026410.3,0.375289105051339,2.45956075966487e-18,1.12119451298969e-17
APOA1,-0.375275291606935,2.46712515073344e-18,1.12429611668944e-17
SLC37A4,0.375274732442188,2.4674318371804e-18,1.12429611668944e-17
NFIL3,0.37527435973411,2.46763627812934e-18,1.12429611668944e-17
CXXC5,0.375225255444799,2.49471770457423e-18,1.13643966737998e-17
SELENOI,0.37520568827069,2.50559049873538e-18,1.14119666156344e-17
CPSF2,0.375204392532523,2.50631213962273e-18,1.14132937022545e-17
IQGAP2,-0.375168510639884,2.52637747626225e-18,1.15026929171528e-17
SUZ12,0.375151831953382,2.53575803695893e-18,1.154342160432e-17
JDP2,0.375147266279423,2.53833187194545e-18,1.15531556683639e-17
HUS1,0.375070133181182,2.58220532675468e-18,1.17508283577791e-17
PTEN,0.375030795004966,2.6048675363247e-18,1.18519238882588e-17
INTS1,0.37495923505394,2.64659539714666e-18,1.20397169447286e-17
PIP4K2C,0.374955601150177,2.64873185578766e-18,1.20473698913963e-17
PACC1,0.374946886180882,2.65386251439728e-18,1.20686365604153e-17
AMER1,0.37491489152599,2.67278236359432e-18,1.21525925568569e-17
MIR4435-2HG,0.374908555488512,2.67654486163272e-18,1.21676142244506e-17
BNIPL,0.37489717915891,2.6833135007332e-18,1.2196294366081e-17
CBR3,0.374839278372852,2.71802503467478e-18,1.23519499862572e-17
TOB2,0.374837359512349,2.71918292708447e-18,1.23550952935668e-17
KATNA1,0.374786857567744,2.74983233346515e-18,1.2492216557201e-17
C5,0.37478495616918,2.75099290229897e-18,1.24953489257504e-17
ILRUN,0.374717999750286,2.79217039798577e-18,1.26802109188445e-17
RPLP1,0.374691630653749,2.80855311252907e-18,1.27524272274814e-17
RINT1,0.374643615354251,2.83862764629308e-18,1.28867768176571e-17
PLPPR1,0.374638968335893,2.8415550907081e-18,1.28978594004317e-17
FAM167A,-0.374560810118279,2.89123945783888e-18,1.31211322256004e-17
ZNF784,0.374531273003077,2.91023770681955e-18,1.3205091585887e-17
TMEM170A,0.374492977248035,2.93505254564325e-18,1.33154102660737e-17
ITPKB,0.374475180437298,2.94665527458955e-18,1.33657622800551e-17
FSD2,-0.374462892167533,2.95469301777525e-18,1.33999293878451e-17
FAM120B,0.374454029253857,2.96050363193952e-18,1.34239862121073e-17
TWNK,0.374369331343072,3.01660286247615e-18,1.36760224799252e-17
AMN1,0.374354076472762,3.02681746671521e-18,1.37199863503226e-17
MAP1B,0.374228037110265,3.11252599970745e-18,1.41040760485641e-17
KDM6A,0.374227906062093,3.11261634578504e-18,1.41040760485641e-17
NDRG1,0.374193692661192,3.13629197245155e-18,1.42089292675064e-17
AC131097.2,-0.374135949143994,3.17665308907254e-18,1.43877695644518e-17
SRGAP2D,0.374135666885697,3.17685163006085e-18,1.43877695644518e-17
SLC26A7,-0.374128468747496,3.18191894283559e-18,1.4408259111925e-17
SNORD89,0.374125878337885,3.18374447374417e-18,1.4414064842215e-17
MBNL3,0.374107233101584,3.19691472024928e-18,1.44712218207052e-17
UQCC2,-0.3740375279764,3.24662833084865e-18,1.46937490366988e-17
ITGA4,0.373916246337329,3.33494634477859e-18,1.50908882193103e-17
RPTOR,0.373899905518502,3.3470251697879e-18,1.51429625880596e-17
SH3BP1,0.373812103592911,3.41266773715668e-18,1.54373165750031e-17
FLRT1,-0.373700564569052,3.4978865725147e-18,1.58201089893478e-17
DEK,0.373674323954134,3.51823749171603e-18,1.5909438749618e-17
RSPH3,0.373666962969589,3.52396720768065e-18,1.59326323761611e-17
AC055811.1,0.373618753063684,3.5617210312637e-18,1.61005814715918e-17
AL117327.1,0.373594313029905,3.58101213634125e-18,1.61850277608772e-17
SLC35E2B,0.373588135211037,3.58590469802167e-18,1.62043795604298e-17
MARCHF4,0.373537576886627,3.62619270528604e-18,1.63836463465198e-17
CLEC10A,0.37352962004275,3.63257365694829e-18,1.64096813392729e-17
GPBP1,0.373493336293878,3.66181161686717e-18,1.65389434614368e-17
GLE1,0.373492311346639,3.66264088900611e-18,1.65398726969316e-17
ZNF585A,0.373488499788885,3.66572639544813e-18,1.65509886579842e-17
CXCL17,0.373476526541313,3.67543554874758e-18,1.65920019343224e-17
FAM214B,0.373475353128683,3.67638843439154e-18,1.65934796002501e-17
LMNTD1,-0.373467020775889,3.68316183184449e-18,1.66212233330226e-17
HMGN1,0.373464209775015,3.68544967357793e-18,1.66287188367628e-17
PDGFA,0.373461507641447,3.68765022798433e-18,1.66358180182844e-17
LINC02560,0.373440339828552,3.70493360650836e-18,1.67109452212618e-17
WDR11,0.373361901407532,3.76967596888176e-18,1.70000722119275e-17
ULK1,0.373347514254861,3.78167126426598e-18,1.70512683929831e-17
GRP,0.373298980620331,3.82241400004441e-18,1.72320451674334e-17
ZBTB14,0.373294831344695,3.82591719046007e-18,1.72449072887245e-17
CEP78,0.373280016197894,3.83845126987181e-18,1.72984638777811e-17
NINJ2,0.373263253028481,3.85268217931593e-18,1.73596479511694e-17
IRX2,0.373209798616736,3.89840942857706e-18,1.75627052483755e-17
FAM240C,-0.373188885372566,3.9164445505212e-18,1.76409591012269e-17
ZCCHC10,0.373126451770793,3.97077586185521e-18,1.78826486437303e-17
TMEM50A,0.373080888207164,4.0108940197428e-18,1.80602571325238e-17
PDGFRL,0.373056001252299,4.03297486444211e-18,1.81566006880841e-17
AC079414.3,-0.373010158158673,4.07396257806535e-18,1.83380165188803e-17
CENPW,0.372992640878995,4.08973257977419e-18,1.84058782509485e-17
PUM2,0.372962451524656,4.11705178598714e-18,1.85256854410678e-17
MTO1,0.372957521830386,4.12152983373446e-18,1.85426900219878e-17
ZNF516-DT,0.372940467283754,4.13705889639191e-18,1.86093987257405e-17
EGR3,0.372924647715718,4.15151492218985e-18,1.86712588718223e-17
AC006213.2,0.372908780041085,4.16606484961668e-18,1.87335202917329e-17
LNCNEF,-0.372905513470997,4.16906636774112e-18,1.87438397407968e-17
HOGA1,-0.372764711689495,4.30048640857657e-18,1.93314188228948e-17
PAFAH1B1,0.372761375516434,4.30364923109803e-18,1.93423584385134e-17
AC008014.1,-0.372759919416781,4.30503038808629e-18,1.93452881711633e-17
CERS2,0.372680218332392,4.38129858580744e-18,1.96846758616409e-17
RPL22P2,0.372628658869082,4.43134407364715e-18,1.99061529039059e-17
HNF1B,0.372614230888166,4.44544885996174e-18,1.99661321468583e-17
HAVCR2,0.372606337635464,4.45318398897613e-18,1.99969368748399e-17
PEX10,0.372605694075884,4.45381524001185e-18,1.99969368748399e-17
C12orf29,0.372561388401017,4.49748593200034e-18,2.01895941499815e-17
ZNRF2P1,0.37254973259476,4.50904453493692e-18,2.0238056740057e-17
CENPB,0.372543061759592,4.51567288821721e-18,2.02643781141685e-17
DPP6,-0.372535402969563,4.52329473080106e-18,2.0295148178151e-17
MARCHF6,0.372524807741445,4.53385972322303e-18,2.03391109450726e-17
NEURL1B,0.372465919863708,4.59302367289313e-18,2.0601039220014e-17
ANXA7,0.372428733556585,4.63077504446435e-18,2.07668535637297e-17
EEF1A1P11,0.372418306405601,4.64141535122024e-18,2.08110519956842e-17
HDGFL2,0.372413181669406,4.6466536648182e-18,2.08310182715849e-17
PDGFRA,0.372403458806159,4.65660800844089e-18,2.08721162608826e-17
L1CAM,0.372383911218701,4.67668453835772e-18,2.09585629438211e-17
FAHD2A,-0.37223278228444,4.83480516804506e-18,2.16635205891154e-17
FKBP5,0.372214799119663,4.85396708540552e-18,2.17457069595452e-17
CRHR2,0.372189769180936,4.88076214553916e-18,2.18620561757129e-17
ALKBH8,0.372186380128696,4.88440136685368e-18,2.18746632883945e-17
MBD5,0.372167406694156,4.90482474114842e-18,2.19624208446494e-17
TSPYL1,0.37214473000095,4.92934465064622e-18,2.206848881064e-17
WDR33,0.37210905187046,4.96816721048537e-18,2.22385425962428e-17
ARHGEF2-AS1,0.372085509511327,4.99394906527122e-18,2.23501759583912e-17
EPHX4,0.372068138490868,5.01305690533116e-18,2.24319074680861e-17
MSR1,0.372024688743317,5.06116655843765e-18,2.26433638268033e-17
AL161908.1,-0.371957505473673,5.13645097286993e-18,2.2976306662116e-17
MBIP,0.371941790452337,5.15421938798211e-18,2.30519007731603e-17
C10orf67,0.371918379151905,5.18080195266537e-18,2.31668834451115e-17
RIOK1,0.371914265306521,5.18548697180561e-18,2.3183925065585e-17
LINC01474,-0.371908441594407,5.19212638873934e-18,2.32096974364172e-17
HHATL,-0.371876007476524,5.2292567630924e-18,2.33717379777235e-17
CDC25C,0.371841513478569,5.26903203097632e-18,2.3545543068342e-17
TMEM185B,0.371840134323991,5.27062851877169e-18,2.3548710137938e-17
ZNF543,0.371759218742353,5.36513316990117e-18,2.39669118330748e-17
COX6A1,-0.371651078151293,5.49404305197473e-18,2.4538640511312e-17
AC018926.2,0.371649400964941,5.49606617048154e-18,2.45435439794938e-17
AC023509.3,-0.371604646719547,5.55032294761025e-18,2.47816641151842e-17
LINC01615,0.371479832160291,5.70443946392743e-18,2.54654933053078e-17
TBC1D9B,0.371478887019137,5.70562240841668e-18,2.54664883065221e-17
MT-CO2,-0.371455126879147,5.73544019437629e-18,2.55952702886988e-17
SERTAD4-AS1,0.371442920689584,5.75081792520289e-18,2.56595788534789e-17
TTLL11-IT1,0.37143996778168,5.75454418003613e-18,2.56718868011501e-17
AP000851.1,0.371435149438323,5.76062951791508e-18,2.56922818938849e-17
DFFA,0.371434814288882,5.76105303117046e-18,2.56922818938849e-17
SELENOP,0.371423408756017,5.77548396866457e-18,2.57523092541261e-17
GNB2,0.371371267561539,5.84191036095838e-18,2.60441200394591e-17
ZNF7,0.371348651496656,5.87095583787119e-18,2.61692109822502e-17
SARAF,0.37130883895843,5.92243218012221e-18,2.63942264801616e-17
GPATCH2L,0.371282775339219,5.9563719146112e-18,2.65410249297794e-17
KIF21B,0.371271861632667,5.97064040270213e-18,2.66001355932275e-17
SNX2,0.371254609933043,5.99326376893388e-18,2.66964424407624e-17
AL031055.1,0.371226073767521,6.03087056462692e-18,2.68594480519298e-17
RPL15,0.371217991364354,6.04156421275654e-18,2.69025570434078e-17
SLC7A8,0.371191901798875,6.07621022985918e-18,2.70522914664727e-17
ZFP69,0.371176023763309,6.0973913279724e-18,2.71420376515851e-17
UBE2T,0.37108913619054,6.21459140523979e-18,2.7659102620032e-17
CYP2T1P,0.371087502225188,6.21681651567803e-18,2.76599165554423e-17
LINC00630,0.371087259180134,6.21714755790148e-18,2.76599165554423e-17
PTPN23,0.371086704943786,6.21790252658155e-18,2.76599165554423e-17
RGS2,0.37108586635061,6.21904501147078e-18,2.76603601566522e-17
AARS2,0.371076269117595,6.23213483626404e-18,2.77139327186488e-17
CDH20,0.371048953403924,6.26953977790299e-18,2.78755970748667e-17
FGD4,0.371039371017847,6.28271375303807e-18,2.79294896955066e-17
UBC,0.371019058427582,6.31072988141062e-18,2.80493332497148e-17
PRADC1,-0.371016597879119,6.31413192871612e-18,2.80597526455225e-17
AC107021.1,0.371011293265055,6.32147242955092e-18,2.80876679507986e-17
TEX30,0.370995231036746,6.34375051971189e-18,2.81819337273283e-17
LNCSRLR,0.370971526125117,6.37677013047677e-18,2.83238788481291e-17
SIN3A,0.370911811678062,6.46070053180923e-18,2.86918704682357e-17
BMPER,0.370862769713258,6.53044269492254e-18,2.89967396929219e-17
ZNF783,0.370811328900235,6.60439235980548e-18,2.9320186064636e-17
C1D,0.370789665242681,6.63578137623312e-18,2.9454484765935e-17
PRR12,0.370788919826507,6.63686403702003e-18,2.9454484765935e-17
ZFHX2,0.370778768764724,6.65162500224079e-18,2.95150560069319e-17
SVIP,0.370732632269438,6.71912159559904e-18,2.98095700693862e-17
INHBC,-0.370730377838052,6.72243699092278e-18,2.98192915754544e-17
PPAT,0.370706271808228,6.75798841628275e-18,2.99719780522181e-17
SLC38A5,0.370686136936675,6.7878249603952e-18,3.00992719658046e-17
RFC1,0.370634050982738,6.86561043348297e-18,3.04391078653801e-17
GPC4,0.370590910022679,6.93070101682461e-18,3.0722556011412e-17
PNMA2,0.370562843047237,6.97337380926673e-18,3.09065519907451e-17
ARAF,0.370492794621077,7.08100596974462e-18,3.13783435271376e-17
AC015712.7,0.370489767361918,7.08569414107765e-18,3.13938738577294e-17
AC012645.3,0.370458561732011,7.13419918398982e-18,3.16035015956102e-17
RNPEPL1,0.370454871574114,7.13995660832124e-18,3.16237249945449e-17
SDSL,-0.370430552372007,7.17801421368092e-18,3.17869791372454e-17
IYD,-0.370409960250683,7.21039525756065e-18,3.19250450011774e-17
HSF1,0.370364023980038,7.28314878222923e-18,3.22417898193278e-17
PROX1-AS1,-0.370276032284415,7.42453221314803e-18,3.28621961431611e-17
PNPT1,0.370232923913509,7.49478021827436e-18,3.31675909359269e-17
FKTN,0.370193044149135,7.56034917976039e-18,3.3452180540838e-17
NIPSNAP1,0.370187360350942,7.56974013073849e-18,3.34881465490275e-17
REELD1,0.370175474745034,7.58941501878894e-18,3.35695885923621e-17
PDLIM2,0.370169958642447,7.59856321068655e-18,3.36044494375911e-17
ZNF283,0.370096479927703,7.7214640925772e-18,3.41422831338061e-17
GJC2,0.370094852812682,7.72420763337587e-18,3.41487219471547e-17
AC069282.1,0.370067551944677,7.77038400228714e-18,3.43471431502531e-17
ZMPSTE24,0.370032843503272,7.82948181822891e-18,3.46026049167511e-17
NRK,0.369998378253465,7.88860314643584e-18,3.4858085467659e-17
FEN1,0.369930098599922,8.00702953236929e-18,3.53754939000046e-17
SLC30A3,0.369928612882371,8.0096257592572e-18,3.53810712556297e-17
ADCYAP1,0.369892116409705,8.07366250469039e-18,3.56580039293069e-17
AC062037.3,-0.369864151547043,8.12307033289341e-18,3.58702453221792e-17
UTP15,0.369862981788691,8.12514351151139e-18,3.58734282267562e-17
PALM3,0.369853507089839,8.14195484780517e-18,3.59416698773307e-17
SEC61A1,0.369844282564902,8.15835517269507e-18,3.60080747605507e-17
TSPAN33,-0.369781862575587,8.27018935000809e-18,3.64955985191007e-17
