gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
AL358075.2,-0.766619219771383,0.735011276223229,-9.91336997930317,7.88368745782994e-20,6.72297921335484e-19,34.1002761322417
ARNT2,1.16749344178106,4.15818472836889,9.91335071402828,7.88478788085158e-20,6.72297921335484e-19,34.1001379170573
SLC6A20,1.75417195393171,1.42604857953785,9.91295491766663,7.90742939537113e-20,6.74011799940921e-19,34.0972983750547
DBF4,0.486335018493781,2.10883206092738,9.9119084635109,7.96760356437507e-20,6.7892275023647e-19,34.0897910946109
APOL4,1.08464893974429,2.00972311423934,9.9117770405647,7.97519286853319e-20,6.79351207548848e-19,34.0888482890366
B3GNT2,0.755710493575995,5.35274876142029,9.9114992051553,7.99126074056392e-20,6.80501388135469e-19,34.0868551639998
SERPING1,1.28599035208248,5.88774655052277,9.91071528730249,8.03677023945576e-20,6.8415714817652e-19,34.0812316582272
ARMC10,0.539324714707147,4.75445176964192,9.9096315639667,8.10010916858267e-20,6.8932786591538e-19,34.0734577969121
S1PR1,0.901232142620001,4.76053745316305,9.90657350614655,8.28152756178224e-20,7.04540731570993e-19,34.0515235051013
CTDSP2,0.781616273626416,6.75939794870682,9.90619449998672,8.30429146482883e-20,7.06250834870309e-19,34.0488052474479
RNF138,0.667041067674575,4.01099847600014,9.90573633923294,8.33189261293509e-20,7.08371100803578e-19,34.04551934962
SMYD5,0.535850253889342,5.04473178171764,9.9044327193598,8.41092693503931e-20,7.14861415824584e-19,34.0361702470506
RNASEH1,0.605092487055086,3.79048378586292,9.90192307748337,8.56518273953163e-20,7.27738748714978e-19,34.0181735245244
TAGLN3,1.57885412908573,1.30032582781933,9.90087820657411,8.63023214617016e-20,7.3303086106087e-19,34.0106813215224
CHML,0.734086767345056,2.75433252595853,9.90074461169549,8.63858454805779e-20,7.33505421644625e-19,34.0097234104876
ASPHD1,1.2611889286264,1.69335633453815,9.89990542510673,8.69123487954491e-20,7.37739828527386e-19,34.0037063499577
KDM5C,0.68120657491226,5.69156022971708,9.89973202288772,8.70215378586921e-20,7.38430362520687e-19,34.0024630652696
ZNF677,0.649457670981466,2.61651402917817,9.89967624441325,8.70566897964397e-20,7.3849240599308e-19,34.0020631386401
SH3PXD2B,0.904841800416651,3.92266312256106,9.89888723158237,8.75554451187084e-20,7.4248584949452e-19,33.9964060955623
GBF1,0.670643837536586,4.16957807171807,9.89778969664573,8.82539519030219e-20,7.48170127254573e-19,33.9885373536561
HNRNPCP2,0.978726351219915,5.258190106864,9.89728346624749,8.85779972893055e-20,7.5067730226713e-19,33.9849080821431
FAM83A,1.36814699829939,1.33820330240571,9.89674122038195,8.89264086666747e-20,7.53389305746475e-19,33.9810207001561
BCL6,0.838734624701991,4.36876523187393,9.89575685785801,8.95623796386492e-20,7.58535019889785e-19,33.9739640094619
WBP1LP2,-0.597441261166241,1.25556575270316,-9.89377346596446,9.08575615301034e-20,7.6925875427626e-19,33.9597464367778
NUDCD1,0.589829662523822,2.63255950899974,9.89322829779355,9.12168142598868e-20,7.72053993317727e-19,33.9558387240992
SPSB1,0.909657309683268,4.30742747941315,9.89287174302213,9.14525386486639e-20,7.73802245676064e-19,33.9532830260521
CACNB1,1.08456548781362,2.96418734831877,9.89253768212979,9.16739413303923e-20,7.75428242260838e-19,33.9508885960165
CD1C,1.4753107563998,1.66711692246418,9.89245202104425,9.173079996997e-20,7.75661842525797e-19,33.9502746135468
TDRD7,0.622737873985515,4.04305614672891,9.89124005960129,9.25390213601143e-20,7.82246679604332e-19,33.941588040603
ZNF300,1.01411499071273,3.28477948469142,9.88920570693999,9.39116142418522e-20,7.93596520987376e-19,33.9270081572023
AC097639.1,0.953550527397389,2.99818037923999,9.88856675968291,9.43468785541792e-20,7.97020796346547e-19,33.9224292000981
SHFL,0.616397007752954,3.85239797977613,9.88815537850528,9.46281806170185e-20,7.9914266763675e-19,33.9194811445135
ITPRIP,0.828189827053841,4.52550696702981,9.88792378729655,9.47869090765131e-20,8.00228373699422e-19,33.9178215308363
CDK5R1,0.670808304315629,1.28812275736031,9.88777619220326,9.48882061536297e-20,8.00828684833338e-19,33.9167638536634
ADORA1,1.38563473128697,4.46208481242952,9.88770940248287,9.49340804559123e-20,8.00961010869443e-19,33.9162852359902
Z99129.4,0.870712563698859,4.09104831868121,9.88764913133456,9.49754964204202e-20,8.01055649617827e-19,33.9158533318934
AC011298.1,-1.25483850085565,0.713217770305402,-9.88665388342845,9.56619942902995e-20,8.06589339016047e-19,33.9087215383701
TXNDC9,0.637049882553379,4.49932990214313,9.88530816041288,9.65980910688042e-20,8.14223375815412e-19,33.8990788048156
AC131009.1,0.459977961064941,0.703630943419079,9.88500571557774,9.68097242775195e-20,8.15748013400725e-19,33.8969117272303
YWHAZP5,1.03369798372467,2.27421985205877,9.88324431563562,9.80514385703205e-20,8.25948701021379e-19,33.884291534863
ABHD2,1.0500289473302,4.41200433413766,9.88287465694933,9.83140356737371e-20,8.27897812787794e-19,33.8816431081698
CCDC80,1.67398154798493,5.0374279911095,9.88227777874251,9.87395207464218e-20,8.31216923935127e-19,33.8773668565095
STMN2,1.21630892547127,1.23120948853066,9.88005059187866,1.00343392123071e-19,8.44450767594096e-19,33.8614115040078
BCO2,-0.700129943331094,1.01540200772351,-9.87878292537097,1.01267817515659e-19,8.51960078471412e-19,33.8523307823637
ANGPTL4,1.5109055844811,5.61533462890736,9.87687828770405,1.02672681115716e-19,8.63505243904716e-19,33.8386882034369
PRSS12,0.852593041303131,0.669536755329002,9.87568284486601,1.03564319000389e-19,8.70492382248583e-19,33.8301260623812
MT1M,-1.90778967343056,4.15672144934717,-9.87567646187217,1.03569100443962e-19,8.70492382248583e-19,33.8300803466
HAUS4,0.648808733168751,3.60842407343288,9.87334646908926,1.0532921742711e-19,8.85005645065415e-19,33.8133935388182
SLC25A16,0.522814708582956,3.36340082327338,9.87312656249524,1.05496866293763e-19,8.8613358939467e-19,33.8118187156484
AC008014.1,-0.631906679357124,1.39582729402184,-9.87290718737614,1.05664374249199e-19,8.87259636383111e-19,33.8102477142176
TMTC1,0.783978222145048,1.71670799354711,9.87242932687412,1.06030169202498e-19,8.90049451982738e-19,33.8068256869292
IPCEF1,-1.60969169942791,2.50241596374802,-9.87190757547858,1.06430999492129e-19,8.93131506652396e-19,33.8030894355234
CHIC2,0.714939604144012,4.89348642478438,9.87108775680074,1.07063861608278e-19,8.98158125560143e-19,33.7972189091479
ASXL1,0.646866556408687,4.12572773850056,9.87075990776431,1.07317991632409e-19,9.00005389200535e-19,33.7948713214718
DTL,0.769998063352404,1.75938671681857,9.87047125848406,1.07542232489508e-19,9.01600903608309e-19,33.7928044555553
ZFYVE19,0.686819055865602,4.51860607042588,9.86979375180856,1.08070393246222e-19,9.05742575434217e-19,33.7879532925632
AL121974.1,0.355440446329816,0.31160248140745,9.86901292421552,1.08682298083755e-19,9.10583271942413e-19,33.7823625043295
TRAPPC6A,-0.876429429462616,6.34710274596261,-9.86751538339128,1.09865515771535e-19,9.20008600616244e-19,33.7716405473258
BTBD11,-1.39028353600993,3.59746852594512,-9.86750140420293,1.09876620928608e-19,9.20008600616244e-19,33.7715404638413
AQP9,0.85094574154499,1.01359451800368,9.86719239427744,1.10122385517249e-19,9.21775449110303e-19,33.7693281349073
STIL,0.414205085393348,1.12434669420742,9.86557510932964,1.11417600205382e-19,9.32322795914184e-19,33.7577498353633
GOLGA3,0.635063820355559,4.91012089023309,9.86466948528277,1.12149477567375e-19,9.38151069679026e-19,33.7512667573617
AC018816.1,0.776491313772774,1.46287257523306,9.86441122249128,1.12359066137777e-19,9.39608003899964e-19,33.7494179841672
DDX18,0.774698815456148,4.91039142854439,9.86353159542228,1.1307583721185e-19,9.45304020763167e-19,33.7431213403265
RINL,0.817279495062373,4.12209177601287,9.86122373533643,1.14978092701965e-19,9.60903871144395e-19,33.7266021601003
PHLDA2,1.43780725197465,5.47872042036566,9.86101036961813,1.15155557648458e-19,9.62083881002521e-19,33.7250750205979
FBXW11,0.74675676663316,5.13940859084066,9.86044697060218,1.15625469171494e-19,9.65705666008515e-19,33.7210426311902
PRIMA1,-1.01264327111787,0.912552383706677,-9.86012897412755,1.1589153992527e-19,9.67623225702773e-19,33.7187666956262
METAP1,0.640850254364498,4.80819292308697,9.85971903582598,1.1623543740327e-19,9.70189179534024e-19,33.7158327710292
ZNF880,0.799141216047522,3.8403509835157,9.85940454313087,1.16499952889725e-19,9.72091145125144e-19,33.7135819869177
FBXL20,0.605590388853158,3.29588144628298,9.85878544142896,1.17022420271433e-19,9.76143622679256e-19,33.7091512493029
BEAN1-AS1,0.522761326793822,0.740893525658499,9.85841259300062,1.17338194477884e-19,9.78469961245005e-19,33.7064829378037
ZNF43,0.666965786823703,3.22332353614354,9.85718572905326,1.18383245228593e-19,9.86874281248789e-19,33.6977031348227
ATP6V1FNB,0.465864786393717,0.756257148302413,9.85459709533874,1.20618709760883e-19,1.00519380933621e-18,33.6791797153379
AC010201.3,0.516085181547665,0.836020518599084,9.85452592929554,1.20680755536294e-19,1.00539501298861e-18,33.6786705052331
NPTN,0.826163848074028,6.72941218909867,9.85386322350353,1.2126005766401e-19,1.00990401557159e-18,33.6739287658248
GRID1,1.22108909405351,3.93289439826629,9.85346762394897,1.21607186270521e-19,1.01247715725419e-18,33.6710982719753
TNKS2,0.845551063753852,5.61710438101774,9.85317663306375,1.21863153698134e-19,1.0142899325374e-18,33.6690162802566
RPL39L,0.976907355078002,3.37357556642895,9.85090007588493,1.23884276422617e-19,1.03078868142608e-18,33.6527288449731
UBXN2B,0.752223677882183,4.5343184787104,9.85031258545962,1.24411235168968e-19,1.03484867484856e-18,33.6485259696058
AL136985.3,0.301930609659204,0.306603679763764,9.85026708700186,1.24452138551468e-19,1.03486439724647e-18,33.6482004807594
SLF2,0.606059278929312,3.7005147292742,9.84929165316506,1.25332281450147e-19,1.04185650195757e-18,33.6412225425984
THRAP3,0.725529972415482,6.99279397677025,9.84851373532993,1.26038635928267e-19,1.04740001774224e-18,33.6356577931093
CNN2P9,0.314579133058969,0.469436002873825,9.84814912552105,1.26371064480005e-19,1.0498336537415e-18,33.6330496651746
RAG2,-1.68375438985086,0.910311644437664,-9.84468142889314,1.29576574147304e-19,1.07612655160657e-18,33.6082467023525
LNX2,0.80304156601431,4.02108476217456,9.84390156896988,1.30308528213028e-19,1.08186667273201e-18,33.602669237434
HEG1,1.00587874669606,6.6042821722018,9.84282827835605,1.31322612054073e-19,1.08994480830611e-18,33.5949935170367
FBLN2,1.35192199175791,4.41840353767172,9.84271443065131,1.31430638546002e-19,1.09050019332851e-18,33.594179348555
EIF4E3,0.742541631286957,4.05896155356715,9.84047969485267,1.33569081308719e-19,1.1078966387727e-18,33.5781987580056
ASF1B,1.0290271524782,3.41886768102856,9.83973519487237,1.34289152768351e-19,1.11352112107949e-18,33.5728752038511
AL353732.2,0.339797831931307,0.275999631853938,9.83914725043656,1.34860531019607e-19,1.11790951432066e-18,33.5686712300183
IQGAP2,-1.55354261966717,4.00352014578356,-9.83870512654739,1.35291788511278e-19,1.12113401501099e-18,33.5655099901986
AL359762.1,0.88884197868025,1.68595420816888,9.83634105272196,1.37621123987987e-19,1.14008055431148e-18,33.5486076614677
RPF2,0.476212109850186,4.74314612451768,9.83493855456616,1.39021805998503e-19,1.15132451636474e-18,33.5385811403251
ZNF567,0.606543628141573,2.57680794208855,9.83316702530662,1.40811309217302e-19,1.16578052069231e-18,33.5259173223641
AC011700.1,-0.514495657618969,0.4180988421606,-9.83200373303954,1.41998837889476e-19,1.17502173123303e-18,33.5176020611326
ECRG4,1.84363738176216,7.35979399367649,9.83198687249831,1.42016122684653e-19,1.17502173123303e-18,33.5174815445541
RNF169,0.900468727775289,2.58263693103874,9.83084627801431,1.43190285978592e-19,1.18436717364145e-18,33.5093289658835
KLC3,0.847694596452686,1.38902344927323,9.82917268439742,1.44930621184544e-19,1.19838829723854e-18,33.4973674656997
RRAGC,0.51873790940813,3.8159384933516,9.8290449972776,1.45064260273828e-19,1.19911952883252e-18,33.4964548987286
CHD9,0.781326074574703,3.73894496516006,9.82877562576394,1.45346590041904e-19,1.20107901789768e-18,33.4945297452577
SPARC,0.945797624554272,9.58137987923602,9.82866530933316,1.4546237086209e-19,1.20166142930171e-18,33.4937413389321
ZNHIT6,0.632047364137438,3.71979752099293,9.82832943368147,1.45815448406963e-19,1.20420317074816e-18,33.4913409370222
ITGB2,1.41724591168779,4.33229264082841,9.82773662734233,1.46440694926242e-19,1.20899031236025e-18,33.4871044195258
SLC35B2,0.8075663453364,6.24756076257865,9.82626545879746,1.48003905847217e-19,1.22151574564508e-18,33.4765911457288
FAM20B,0.654568588462372,5.22427812967695,9.82518194070421,1.49165808100342e-19,1.23072230969508e-18,33.4688485571833
SMARCA5,0.758942775775759,5.75177635647871,9.82351144634024,1.50974936269506e-19,1.2452615545662e-18,33.4569123185318
TIPRL,0.562655931586881,5.31078794306041,9.82339661751931,1.51100092700311e-19,1.24590645289663e-18,33.4560918620888
NOP9,0.759309209110871,3.49404213697351,9.82232657964908,1.52271337672542e-19,1.25517386671903e-18,33.4484466080611
GPATCH8,0.843081162285141,4.39048311367302,9.8213832696615,1.5331134933101e-19,1.26335410138377e-18,33.4417071176364
LINC00896,-0.961045062728274,1.87676281064737,-9.82088618058584,1.53862233722135e-19,1.26749987941408e-18,33.4381557761733
PHYHIP,1.55985760536485,3.82009593062227,9.81901210783962,1.55956867248664e-19,1.2843563677858e-18,33.4247676153343
ZCCHC2,0.627052881312611,2.94338375554633,9.81758444892371,1.57571544681445e-19,1.29725102241465e-18,33.4145693601785
NOP14,0.655829509151658,4.77650257088846,9.81557521340971,1.59872165891575e-19,1.31578314379148e-18,33.4002178427544
IGSF1,2.79541151198288,6.0473037785236,9.81316992665289,1.62670215208547e-19,1.33839644188025e-18,33.3830391709536
BEST1,0.385326904954441,1.05351649447927,9.81150120741349,1.64639964143422e-19,1.35418284926152e-18,33.3711222205635
CHMP5,0.690310644263954,6.95735270235064,9.81033146168285,1.66034841264463e-19,1.36523254785528e-18,33.3627691751622
NEMP1,0.776374176471629,3.61503818120891,9.80991004342541,1.66540239027507e-19,1.36896386130885e-18,33.3597599772815
RNF111,0.790361045926061,3.93269316962234,9.80814040059321,1.68679276886113e-19,1.38611725485782e-18,33.3471242274179
CENPN,0.521827703973749,1.69079650118759,9.80767525474912,1.69246034462242e-19,1.39034385572792e-18,33.3438031263121
CD82,0.898188819320402,5.19209637430828,9.80748459340415,1.6947889252637e-19,1.3918257285308e-18,33.3424418414471
NANOS1,1.07075051434535,3.73938783063439,9.80736932806516,1.69619822521659e-19,1.39255196911468e-18,33.3416188752031
VMP1,0.875185948052129,6.10316572828633,9.80499519511718,1.72548617137594e-19,1.41615860711381e-18,33.3246691247771
SAMD1,0.576196596992631,5.92100579956892,9.80449420969851,1.73173038793513e-19,1.42084380669246e-18,33.3210926558484
RFC4,0.498577570218545,3.25181527036601,9.80431123927007,1.7340165016663e-19,1.42227958327769e-18,33.3197864747399
PPP4R1L,0.660614192082941,2.05694448746723,9.80417429460406,1.73572951138548e-19,1.42324454463713e-18,33.3188088675267
RPAP3,0.593237928789793,4.147484466097,9.80400395054259,1.73786265381967e-19,1.42455329898704e-18,33.3175928406226
ETS1,0.98766637407675,5.87533852629717,9.80369136928141,1.74178374810976e-19,1.42732640415074e-18,33.3153614568619
PDZD8,0.78936867605567,3.72229938849627,9.80262088832886,1.75527885224106e-19,1.43794091521143e-18,33.307719996555
JMY,0.75025984755257,4.4043910951672,9.80160903335492,1.76813039728872e-19,1.4480218252078e-18,33.3004973770198
AC005332.6,0.536064715765406,4.98098290109927,9.80135885400902,1.77132231105388e-19,1.45018813651281e-18,33.2987116493827
IFNAR2,0.33100761788212,0.661643086250151,9.80091132429708,1.77704641076668e-19,1.45442558136368e-18,33.2955173279235
AL162411.1,-0.977443638482988,0.883473884161164,-9.7987320746263,1.80518375323113e-19,1.47699889692193e-18,33.2799635000083
TTC13,0.597476073198951,3.21610860061889,9.7977501273684,1.81800642161422e-19,1.48703170952016e-18,33.2729556204927
C5orf15,0.763340688399389,6.90515562024188,9.79751341407131,1.82111103663646e-19,1.48911194074657e-18,33.2712663124775
AL590723.1,0.428422854268058,0.737925133374806,9.79696295880589,1.8283509240144e-19,1.49457123606798e-18,33.2673380519126
LZTS1,1.08693287165088,2.64024354243183,9.79686306264051,1.82966787600105e-19,1.49518700181158e-18,33.2666251651979
CEPT1,0.79238570410443,3.20353885219402,9.79676411569766,1.83097324351218e-19,1.49579292446579e-18,33.2659190556561
SLC24A1,0.75113250160017,2.850035166378,9.79586682824242,1.84285313142656e-19,1.50503454939104e-18,33.2595159413375
DIMT1,0.677958148161281,2.45695438271198,9.79519796793645,1.85175849868637e-19,1.51184198018328e-18,33.2547430747357
EIF3C,0.784174857170137,2.49646448304221,9.79420584460762,1.86504669310787e-19,1.5222224178886e-18,33.2476637344444
DENND2D,0.524404903372492,4.2734632083214,9.79414215612515,1.86590294670727e-19,1.5224528318781e-18,33.247209293576
LINC01431,-0.839510384236023,1.73962911272541,-9.79405483500981,1.86707756199318e-19,1.52294278626787e-18,33.2465862273199
RAPGEFL1,0.694447465043099,2.13233135690198,9.78787580092472,1.95208899501561e-19,1.59179565575728e-18,33.2025031080934
PLEKHA8,0.496714043315437,1.97856307930995,9.78690013758959,1.96585942044149e-19,1.60253186805873e-18,33.1955435852759
BLACAT1,0.857513143460356,2.65204722745732,9.78654816812558,1.97085074428902e-19,1.60610712267313e-18,33.1930330227061
KLHL9,0.732624021948754,4.91328374637764,9.78569613664363,1.982985717933e-19,1.61549997401385e-18,33.186955738649
ZNF669,0.694456485270015,2.97035888590654,9.78418387015467,2.00470715825217e-19,1.63269456800114e-18,33.1761697906767
CLCNKB,-1.47370298439666,2.93869256682033,-9.78328597879432,2.01771572540034e-19,1.64278475543185e-18,33.1697661137593
CA5B,0.630679052537261,2.35153364920288,9.78146726351523,2.0443227048916e-19,1.66393691531005e-18,33.1567960278523
PKMYT1,0.540502958674773,1.05931127615984,9.78017168928647,2.06348874532101e-19,1.67902154780323e-18,33.1475573692204
CCT4,0.779302748290778,6.8494182853196,9.77970983722164,2.07036422756139e-19,1.68409940203292e-18,33.1442640660092
AC092118.1,0.851835895373815,1.45068056151194,9.77852036417423,2.08817663003221e-19,1.69767902105426e-18,33.1357826823011
TNFRSF8,0.717577778420275,0.999794844921511,9.77850960263864,2.08833847760689e-19,1.69767902105426e-18,33.1357059507114
BRPF3,0.914046105266427,4.93533047767015,9.77713297849275,2.1091452747971e-19,1.7140682463011e-18,33.1258907026988
ZFR,0.829358455792762,5.5776502324444,9.77591720183072,2.12769220211586e-19,1.72861143501762e-18,33.1172228119483
LINC02259,-0.547010937121888,0.677199835520386,-9.77570290520163,2.13097810314377e-19,1.73075092357598e-18,33.1156950331765
SERAC1,0.593351503270075,2.46886445161905,9.77556121261528,2.13315350466132e-19,1.73198744611711e-18,33.1146848767045
ZNF474,0.794513220467254,0.804681943352044,9.77485485165184,2.14403120857542e-19,1.74028677596914e-18,33.1096491794136
KIAA0040,0.640526566291133,4.70858879350751,9.7734473797498,2.16587038428458e-19,1.75747561375139e-18,33.0996157078467
MTMR2,0.530175006290855,2.95962575528835,9.77223759604108,2.18481869026125e-19,1.77230888617339e-18,33.0909920270124
C2CD4A,1.76014985765252,1.84261683339544,9.77156581260497,2.19541157857882e-19,1.78035730765459e-18,33.0862035749623
CLEC7A,1.01742262692615,2.06315854666306,9.7700181712436,2.22000989343415e-19,1.7997549643409e-18,33.0751726062473
CWH43,-1.82019088684312,2.22172770970792,-9.76933936351027,2.23088513467656e-19,1.80801891483136e-18,33.0703345879975
AC012368.2,0.506149250266509,0.371308789495715,9.76844414278031,2.24530853851524e-19,1.819152544064e-18,33.0639543795731
ACTR8,0.598215780824749,4.37333396749014,9.76821607762703,2.24899781165108e-19,1.82158521990402e-18,33.0623290094975
HEXIM1,0.726132213335924,5.65658818248636,9.76780181480765,2.25571450816908e-19,1.82646773637647e-18,33.0593766940569
DPYSL2,0.803920171548648,4.49071289929091,9.76700892282129,2.26862578980867e-19,1.83636154105782e-18,33.0537261721214
UBE2Z,0.660679252111016,6.50412287803049,9.76594572313229,2.28605403609335e-19,1.84990449546712e-18,33.0461496391811
CX3CL1,0.912822773655721,5.78732912191253,9.76512995372655,2.29951649221703e-19,1.8602309994678e-18,33.0403365901057
IL17RA,0.582848556715559,3.527685185821,9.76245356865025,2.34423993530555e-19,1.89583257694863e-18,33.0212666352986
PCDHGC4,0.3371918091137,0.343392966467816,9.76200206615264,2.3518694695442e-19,1.9014230280137e-18,33.0180497957319
MAST2,0.580223412744195,4.43797866653489,9.76121416746044,2.36524260779578e-19,1.91165220641044e-18,33.0124363825297
NORAD,0.723215200345668,8.17357955577938,9.76081085205744,2.37211736176057e-19,1.91662458538108e-18,33.0095630273285
ETV3,0.778976894334547,3.82630963164421,9.75938293423724,2.39661706832931e-19,1.93583021785942e-18,32.9993904950016
NOP53-AS1,0.561050316700332,1.19497202695346,9.75899010225626,2.40340113279741e-19,1.94071897864792e-18,32.9965920668435
CAMSAP2,0.697609079096663,4.80517122436396,9.75805283295942,2.41966461131679e-19,1.95325695312809e-18,32.989915423642
DIRAS3,1.84261844574922,4.71166007235524,9.75686740423201,2.44039086318168e-19,1.9693887446534e-18,32.9814714357863
AKAP9,0.953073897951514,4.08900509466847,9.75271349703986,2.51442056879202e-19,2.02851338223166e-18,32.951886235402
FBXO38,0.67995472673173,3.97565087789915,9.75137646590618,2.53872022701168e-19,2.04749445855007e-18,32.9423647821757
SRP68,0.637946157176743,5.90381845726127,9.75059621099675,2.55300852356188e-19,2.05815513003783e-18,32.9368085981803
S100PBP,0.623343000973574,3.26486628628861,9.7505699744996,2.55349036151493e-19,2.05815513003783e-18,32.9366217720028
FGR,0.963366993896808,3.15388004657979,9.74872867971165,2.58753275761432e-19,2.08496032589543e-18,32.9235107625016
EMB,1.1358264088453,6.07877208700031,9.74752843139088,2.60996571404559e-19,2.10239752598765e-18,32.9149649600208
FOXJ2,0.625064091228922,4.18155322867558,9.74726777043088,2.61486302082783e-19,2.10570298999633e-18,32.9131091102884
GCSH,-0.64913038620822,1.66559784460176,-9.74658022366238,2.62782452522796e-19,2.11549843266151e-18,32.9082140350196
PRIM1,0.600522673201751,1.92960159838917,9.74645118319738,2.63026427822623e-19,2.11682009236132e-18,32.9072953329324
FAM107B,1.08611359860386,3.66184753332199,9.74499529545339,2.65794702684121e-19,2.13845019211373e-18,32.8969305437515
NBPF11,0.732781293131073,2.60226454625936,9.74424171703488,2.67238934077461e-19,2.14941781847748e-18,32.8915659301593
ATF7IP,0.733596510637512,5.01283041135447,9.74189924157472,2.71778263974508e-19,2.18526530166347e-18,32.8748914088201
AC006262.2,0.661284831883666,0.471487118576293,9.74166240524203,2.7224145682227e-19,2.1883263283841e-18,32.8732056312813
CA5A,-0.494271078207333,0.537668107531209,-9.74143182530354,2.72693167341303e-19,2.19129323141333e-18,32.871564404214
PDCL3,0.549496199514178,5.28688887684592,9.74120043163163,2.73147220689101e-19,2.19427715808574e-18,32.869917403068
MICU3,0.804622235768501,2.83016866401986,9.7401394500678,2.7523877531162e-19,2.21040985586317e-18,32.8623658369041
UBE2E1,0.920901649157697,4.04533888165209,9.7383152462643,2.78872170138905e-19,2.23891137563698e-18,32.8493828981265
ARID4B,0.756577084907713,4.32790747937468,9.73666529228113,2.82199528935502e-19,2.2649393962309e-18,32.8376410652083
USP3,0.535352571491758,2.92447268459856,9.73619342634053,2.83158344983207e-19,2.27194744677089e-18,32.8342832178347
NCAM2,0.47251246736457,0.550185297813493,9.73305729891799,2.89613626013766e-19,2.32303932374997e-18,32.8119681078994
TSC22D4,0.559419087257009,5.83656141018777,9.73112728553802,2.93658760047228e-19,2.35477396282128e-18,32.7982367437903
CRIM1,1.049473856532,5.41255165668118,9.73095707686719,2.94018184573149e-19,2.35694359745765e-18,32.7970258292624
IL27RA,1.0266222803213,4.3644339118668,9.7301635460771,2.95699637759739e-19,2.36970652302563e-18,32.7913805465136
PTPRO,0.310410755989593,0.385987257869579,9.72703148767448,3.02430118866392e-19,2.42291190971003e-18,32.769100737957
ENOPH1,0.607231018211651,6.28642383600804,9.72549729889756,3.05782263637628e-19,2.4490278759818e-18,32.7581885343596
GPR108,0.674111624293688,6.68442174799637,9.72483030757658,3.07251104770488e-19,2.46004914130455e-18,32.7534446814546
MCEMP1,1.17911930029723,1.02688582511147,9.72420848886235,3.08626781214146e-19,2.47031804420231e-18,32.7490222453423
CCDC62,0.22491259060983,0.323219888507415,9.72372714559324,3.09695878814085e-19,2.47812756603994e-18,32.7455989738976
MIR222HG,1.59523519521082,3.70225025009487,9.72292784692842,3.11479312886213e-19,2.49164663860666e-18,32.7399146037614
HCAR2,0.987164861618247,0.908434759495048,9.72171228203458,3.14211120085799e-19,2.51274168567859e-18,32.731270286835
MED1,0.7272029344403,3.95786801215918,9.72159950501201,3.1446577385283e-19,2.51340588558034e-18,32.7304683143144
GIGYF2,0.691472381346559,4.13759275489855,9.72159157779313,3.14483681453711e-19,2.51340588558034e-18,32.7304119429599
MZT1,0.648705083367478,4.63375965822365,9.7206083028593,3.16712777201593e-19,2.53045877350887e-18,32.7234199273919
NIPA2,0.881161954957713,4.06397951704194,9.72054896018979,3.16847808958357e-19,2.53077536297181e-18,32.7229979552646
HNRNPA0,0.669768683750259,6.29040954055139,9.71916022228464,3.20024209211939e-19,2.55537693364115e-18,32.7131232971929
B4GALT6,1.03141946436529,2.51713994117414,9.71854544488082,3.21440447925735e-19,2.56591312719773e-18,32.7087521136656
HSF2BP,0.446917394735613,1.1365451944144,9.71822734643625,3.22175681922054e-19,2.57100846530217e-18,32.7064904236485
PCNA,0.608809684803837,7.14324490093573,9.71676225523695,3.25583637867428e-19,2.59742303099891e-18,32.6960740194513
TPR,0.858042938896333,5.09062669780695,9.71352222474587,3.33248017475501e-19,2.65776816342608e-18,32.6730408467166
CAMK2D,0.783720917657138,4.90902533844304,9.71307451703937,3.34321084680485e-19,2.66552482483756e-18,32.6698583995101
ZNF562,0.482306290592896,2.638785390218,9.71200995871001,3.36886428991483e-19,2.68517109838584e-18,32.6622914558858
ZFAND5,0.691662579874052,6.29200169163451,9.71171994003965,3.37588692025785e-19,2.68996024171703e-18,32.6602300523539
KYAT3,0.648859104725634,5.62929338332039,9.71158984230055,3.37904188420665e-19,2.6916656162302e-18,32.6593053489158
LRRC37B,0.514358754512885,2.1876440307599,9.71087127949026,3.39652040215981e-19,2.70477634907509e-18,32.6541980802983
AC016717.2,1.28867817562209,0.754210705257183,9.71011325356602,3.41505620813289e-19,2.71872091767506e-18,32.6488105121048
FAM95C,-0.661731385245941,0.647802770505368,-9.70935983364693,3.43357897745244e-19,2.73264674335144e-18,32.6434558728887
LINC02257,0.490496375155349,0.314867248889888,9.70920558379829,3.43738349084832e-19,2.73453540559989e-18,32.6423596257067
CCND2,1.06809878643836,6.99926141638442,9.7091800423583,3.43801386476499e-19,2.73453540559989e-18,32.6421781045439
ATXN7L3,0.648083404324671,5.43333949623369,9.70714443391493,3.48862471552927e-19,2.77395860923649e-18,32.6277118920574
TENT4A,0.609734606023348,3.78712022453151,9.70648862358485,3.50508711203498e-19,2.78621338728918e-18,32.6230516224578
DNAJB5,1.04622230941509,4.07103460457499,9.70615285554313,3.51354554058961e-19,2.79210032982864e-18,32.6206656693815
HECTD3,0.539250578058209,5.38119572191738,9.70431159356622,3.5602911353709e-19,2.82840019936653e-18,32.6075824199853
JAG1,0.913933611232213,4.80779919348074,9.70353572578709,3.58017328997767e-19,2.84334361347149e-18,32.6020697665654
