model,term,estimate,ci_low,ci_high,p_value,n,r_squared
IodineHandling ~ RAIR-like + CAF/immune + BRAF/RAS,RAIR_like_z,-0.192060867737324,-0.281688459401218,-0.10243327607343,3.0273079311032e-05,505,0.302553618053322
OneCarbon ~ MAPK + dediff + CAF/immune + drivers + TDS,MAPK_z,0.124224741806366,-0.00849926441856103,0.256948748031293,0.0665216286667731,505,0.403322863865134
OneCarbon ~ MAPK + dediff + CAF/immune + drivers + TDS,Dediff_EMT_z,0.483331752249223,0.335780784609892,0.630882719888553,2.89309162190055e-10,505,0.403322863865134
RAIR-like ~ CAF/immune + BRAF/RAS,CAF_z,0.337044071041002,0.254179802292527,0.419908339789477,9.29051464719462e-15,505,0.328366561454767
RAIR-like ~ CAF/immune + BRAF/RAS,ImmuneCheckpoint_z,0.0690249625876815,-0.0140075185248081,0.152057443700171,0.103041088314988,505,0.328366561454767
RAIR-like ~ CAF/immune + BRAF/RAS,BRAF_mutTRUE,0.702179733545288,0.547067397053275,0.857292070037302,1.07730326144507e-17,505,0.328366561454767
RAIR-like ~ CAF/immune + BRAF/RAS,RAS_mutTRUE,0.0647876076472145,-0.192903609523138,0.322478824817567,0.621550408258187,505,0.328366561454767
