cohort,model,term,estimate,ci_low,ci_high,p_value,n,r_squared,log_or,OR
All TCGA,IodineHandling ~ RAIR residual + MAPK/CAF/immune/drivers,RAIR_resid_MAPK,-1.0158924509539,-1.16013903811104,-0.871645863796755,4.45988631127398e-37,505,0.4848907996681,,
All TCGA,IodineHandling ~ OneCarbon residual + MAPK/CAF/immune/drivers,OneCarbon_resid_MAPK,0.22722310998239,0.14190561310629,0.31254060685849,2.46707398872863e-07,505,0.324011922057783,,
All TCGA,N1 vs N0 ~ RAIR residual + MAPK/CAF/immune/drivers,RAIR_resid_MAPK,,1.3452157756594,3.46145227816816,0.00142312710471846,455,,0.769121331383456,2.15786936844749
All TCGA,N1 vs N0 ~ OneCarbon residual + MAPK/CAF/immune/drivers,OneCarbon_resid_MAPK,,0.575320026255461,0.933594268427642,0.0118579972711166,455,,-0.310771081427567,0.732881626883727
