model,term,log_or,OR,ci_low,ci_high,p_value,n
N1 vs N0 ~ RAIR-like + CAF/immune + BRAF/RAS,RAIR_like_z,0.549983084700771,1.73322369962192,1.33573657559652,2.24899463548008,3.50362790890661e-05,455
T3/T4 vs T1/T2 ~ RAIR-like + CAF/immune + BRAF/RAS,RAIR_like_z,0.0554739696979519,1.05704150160474,0.84277384729035,1.32578477572272,0.6312515766603,503
Stage III/IV vs I/II ~ RAIR-like + CAF/immune + BRAF/RAS,RAIR_like_z,-0.033827638763846,0.966738118455346,0.76341128495134,1.22421898666871,0.778878589679079,503
